id,image,keypoints
1,100-0.png,"[{""x"":22.890625,""y"":37.03125,""width"":0.15625,""keypointlabels"":[""GINOCCHIO SX""],""original_width"":750,""original_height"":375},{""x"":37.265625,""y"":66.71875,""width"":0.15625,""keypointlabels"":[""BACINO SX""],""original_width"":750,""original_height"":375},{""x"":31.328125,""y"":35.3125,""width"":0.15625,""keypointlabels"":[""GOMITO SX""],""original_width"":750,""original_height"":375},{""x"":46.015625,""y"":43.4375,""width"":0.15625,""keypointlabels"":[""SPALLA SX""],""original_width"":750,""original_height"":375}]"
2,100-375.png,"[{""x"":74.60743801652893,""y"":73.55371900826447,""width"":0.19008264462809918,""keypointlabels"":[""GINOCCHIO DX""],""original_width"":750,""original_height"":345},{""x"":57.78512396694215,""y"":86.98347107438018,""width"":0.19008264462809918,""keypointlabels"":[""BACINO DX""],""original_width"":750,""original_height"":345},{""x"":64.24793388429752,""y"":70.86776859504133,""width"":0.19008264462809918,""keypointlabels"":[""MANO DX""],""original_width"":750,""original_height"":345},{""x"":64.53305785123968,""y"":57.02479338842975,""width"":0.19008264462809918,""keypointlabels"":[""GOMITO DX""],""original_width"":750,""original_height"":345},{""x"":49.13636575178357,""y"":46.074314505793126,""width"":0.19008264462809918,""keypointlabels"":[""SPALLA DX""],""original_width"":750,""original_height"":345}]"
3,200-0.png,"[{""x"":23.574144486692013,""y"":45.05703422053232,""width"":0.19011406844106463,""keypointlabels"":[""GINOCCHIO SX""],""original_width"":750,""original_height"":375},{""x"":39.353612167300376,""y"":71.67300380228137,""width"":0.19011406844106463,""keypointlabels"":[""BACINO SX""],""original_width"":750,""original_height"":375},{""x"":31.4638783269962,""y"":41.254752851711025,""width"":0.19011406844106463,""keypointlabels"":[""GOMITO SX""],""original_width"":750,""original_height"":375},{""x"":46.10267111792158,""y"":40.11404587328187,""width"":0.19011406844106463,""keypointlabels"":[""SPALLA SX""],""original_width"":750,""original_height"":375}]"
4,200-375.png,"[{""x"":69.5702479338843,""y"":70.24793388429752,""width"":0.19008264462809918,""keypointlabels"":[""GINOCCHIO DX""],""original_width"":750,""original_height"":345},{""x"":53.12809917355372,""y"":98.7603305785124,""width"":0.19008264462809918,""keypointlabels"":[""BACINO DX""],""original_width"":750,""original_height"":345},{""x"":55.789256198347104,""y"":70.24793388429752,""width"":0.19008264462809918,""keypointlabels"":[""GOMITO DX""],""original_width"":750,""original_height"":345},{""x"":41.15289256198347,""y"":88.42975206611571,""width"":0.19008264462809918,""keypointlabels"":[""SPALLA DX""],""original_width"":750,""original_height"":345},{""x"":62.727272727272734,""y"":64.87603305785123,""width"":0.19008264462809918,""keypointlabels"":[""MANO DX""],""original_width"":750,""original_height"":345}]"
5,300-0.png,"[{""x"":25.380228136882145,""y"":38.02281368821294,""width"":0.1984126984126984,""keypointlabels"":[""GINOCCHIO SX""],""original_width"":750,""original_height"":375},{""x"":41.1596958174905,""y"":78.32699619771863,""width"":0.1984126984126984,""keypointlabels"":[""BACINO SX""],""original_width"":750,""original_height"":375},{""x"":45.722433460076054,""y"":51.711026615969594,""width"":0.1984126984126984,""keypointlabels"":[""SPALLA SX""],""original_width"":750,""original_height"":375},{""x"":33.07984790874526,""y"":39.3536121673004,""width"":0.1984126984126984,""keypointlabels"":[""GOMITO SX""],""original_width"":750,""original_height"":375}]"
6,300-375.png,"[{""x"":54.46428571428571,""y"":96.40269151138716,""width"":0.1984126984126984,""keypointlabels"":[""BACINO DX""],""original_width"":750,""original_height"":345},{""x"":69.94047619047619,""y"":58.66114561766735,""width"":0.1984126984126984,""keypointlabels"":[""GINOCCHIO DX""],""original_width"":750,""original_height"":345},{""x"":46.329365079365076,""y"":77.42408557625949,""width"":0.1984126984126984,""keypointlabels"":[""SPALLA DX""],""original_width"":750,""original_height"":345},{""x"":60.912698412698404,""y"":59.739475500345065,""width"":0.1984126984126984,""keypointlabels"":[""GOMITO DX""],""original_width"":750,""original_height"":345}]"
7,400-0.png,"[{""x"":64.08730158730158,""y"":72.61904761904762,""width"":0.1984126984126984,""keypointlabels"":[""GINOCCHIO DX""],""original_width"":750,""original_height"":375},{""x"":56.845238095238095,""y"":78.57142857142856,""width"":0.1984126984126984,""keypointlabels"":[""BACINO DX""],""original_width"":750,""original_height"":375},{""x"":63.29365079365079,""y"":60.51587301587301,""width"":0.1984126984126984,""keypointlabels"":[""GOMITO DX""],""original_width"":750,""original_height"":375},{""x"":54.36507936507936,""y"":30.357142857142854,""width"":0.1984126984126984,""keypointlabels"":[""SPALLA DX""],""original_width"":750,""original_height"":375},{""x"":33.432539682539684,""y"":31.150793650793645,""width"":0.1984126984126984,""keypointlabels"":[""SPALLA SX""],""original_width"":750,""original_height"":375}]"
8,400-375.png,"[{""x"":25.496031746031743,""y"":64.26846100759144,""width"":0.1984126984126984,""keypointlabels"":[""GINOCCHIO SX""],""original_width"":750,""original_height"":345},{""x"":38.78968253968254,""y"":90.14837819185645,""width"":0.1984126984126984,""keypointlabels"":[""BACINO SX""],""original_width"":750,""original_height"":345},{""x"":50.49603174603175,""y"":64.26846100759144,""width"":0.1984126984126984,""keypointlabels"":[""SPALLA SX""],""original_width"":750,""original_height"":345},{""x"":34.32539682539682,""y"":59.955141476880605,""width"":0.1984126984126984,""keypointlabels"":[""GOMITO SX""],""original_width"":750,""original_height"":345}]"
9,500-0.png,"[{""x"":70.33730158730158,""y"":34.72222222222222,""width"":0.1984126984126984,""keypointlabels"":[""GINOCCHIO DX""],""original_width"":750,""original_height"":375},{""x"":50.297619047619044,""y"":53.769841269841265,""width"":0.1984126984126984,""keypointlabels"":[""SPALLA DX""],""original_width"":750,""original_height"":375},{""x"":58.928571428571416,""y"":72.61904761904762,""width"":0.1984126984126984,""keypointlabels"":[""BACINO DX""],""original_width"":750,""original_height"":375},{""x"":62.99603174603175,""y"":38.888888888888886,""width"":0.1984126984126984,""keypointlabels"":[""GOMITO DX""],""original_width"":750,""original_height"":375}]"
10,500-375.png,"[{""x"":41.07142857142856,""y"":67.28778467908903,""width"":0.1984126984126984,""keypointlabels"":[""GOMITO SX""],""original_width"":750,""original_height"":345},{""x"":58.23412698412697,""y"":67.28778467908903,""width"":0.1984126984126984,""keypointlabels"":[""SPALLA SX""],""original_width"":750,""original_height"":345},{""x"":34.82142857142857,""y"":70.95410628019324,""width"":0.1984126984126984,""keypointlabels"":[""MANO SX""],""original_width"":750,""original_height"":345},{""x"":27.579365079365076,""y"":76.9927536231884,""width"":0.1984126984126984,""keypointlabels"":[""GINOCCHIO SX""],""original_width"":750,""original_height"":345},{""x"":44.44444444444444,""y"":97.04968944099379,""width"":0.1984126984126984,""keypointlabels"":[""BACINO SX""],""original_width"":750,""original_height"":345}]"
11,600-0.png,"[{""x"":54.166666666666664,""y"":78.96825396825395,""width"":0.1984126984126984,""keypointlabels"":[""BACINO DX""],""original_width"":750,""original_height"":375},{""x"":71.23015873015872,""y"":67.46031746031746,""width"":0.1984126984126984,""keypointlabels"":[""GINOCCHIO DX""],""original_width"":750,""original_height"":375},{""x"":54.76190476190476,""y"":44.44444444444444,""width"":0.1984126984126984,""keypointlabels"":[""SPALLA DX""],""original_width"":750,""original_height"":375},{""x"":64.78174603174602,""y"":60.51587301587301,""width"":0.1984126984126984,""keypointlabels"":[""GOMITO DX""],""original_width"":750,""original_height"":375}]"
12,600-375.png,"[{""x"":30.357142857142854,""y"":57.798481711525184,""width"":0.1984126984126984,""keypointlabels"":[""GINOCCHIO SX""],""original_width"":750,""original_height"":345},{""x"":41.36904761904761,""y"":98.55935127674258,""width"":0.1984126984126984,""keypointlabels"":[""BACINO SX""],""original_width"":750,""original_height"":345},{""x"":41.17063492063492,""y"":65.5624568668047,""width"":0.1984126984126984,""keypointlabels"":[""GOMITO SX""],""original_width"":750,""original_height"":345},{""x"":53.96825396825397,""y"":81.52173913043478,""width"":0.1984126984126984,""keypointlabels"":[""SPALLA SX""],""original_width"":750,""original_height"":345},{""x"":36.01190476190476,""y"":55.64182194616977,""width"":0.1984126984126984,""keypointlabels"":[""MANO SX""],""original_width"":750,""original_height"":345}]"
13,700-0.png,"[{""x"":73.8095238095238,""y"":48.21428571428571,""width"":0.1984126984126984,""keypointlabels"":[""GINOCCHIO DX""],""original_width"":750,""original_height"":375},{""x"":60.912698412698404,""y"":65.67460317460316,""width"":0.1984126984126984,""keypointlabels"":[""BACINO DX""],""original_width"":750,""original_height"":375},{""x"":48.11507936507936,""y"":31.349206349206344,""width"":0.1984126984126984,""keypointlabels"":[""SPALLA DX""],""original_width"":750,""original_height"":375},{""x"":66.36904761904762,""y"":41.07142857142856,""width"":0.1984126984126984,""keypointlabels"":[""GOMITO DX""],""original_width"":750,""original_height"":375}]"
14,700-375.png,"[{""x"":45.93253968253968,""y"":53.48516218081435,""width"":0.1984126984126984,""keypointlabels"":[""SPALLA SX""],""original_width"":750,""original_height"":345},{""x"":31.249999999999993,""y"":64.91545893719807,""width"":0.1984126984126984,""keypointlabels"":[""GOMITO SX""],""original_width"":750,""original_height"":345},{""x"":29.662698412698408,""y"":71.38543823326432,""width"":0.1984126984126984,""keypointlabels"":[""MANO SX""],""original_width"":750,""original_height"":345},{""x"":24.007936507936506,""y"":92.5207039337474,""width"":0.1984126984126984,""keypointlabels"":[""GINOCCHIO SX""],""original_width"":750,""original_height"":345}]"
15,800-0.png,"[{""x"":65.07936507936508,""y"":36.507936507936506,""width"":0.1984126984126984,""keypointlabels"":[""GOMITO DX""],""original_width"":750,""original_height"":375},{""x"":50.297619047619044,""y"":39.88095238095238,""width"":0.1984126984126984,""keypointlabels"":[""SPALLA DX""],""original_width"":750,""original_height"":375},{""x"":59.02777777777777,""y"":67.85714285714285,""width"":0.1984126984126984,""keypointlabels"":[""BACINO DX""],""original_width"":750,""original_height"":375},{""x"":72.51984126984125,""y"":41.666666666666664,""width"":0.1984126984126984,""keypointlabels"":[""GINOCCHIO DX""],""original_width"":750,""original_height"":375}]"
16,800-375.png,"[{""x"":53.86904761904761,""y"":98.1280193236715,""width"":0.1984126984126984,""keypointlabels"":[""BACINO DX""],""original_width"":750,""original_height"":345},{""x"":73.01587301587301,""y"":63.83712905452036,""width"":0.1984126984126984,""keypointlabels"":[""GINOCCHIO DX""],""original_width"":750,""original_height"":345},{""x"":47.916666666666664,""y"":79.5807453416149,""width"":0.1984126984126984,""keypointlabels"":[""SPALLA DX""],""original_width"":750,""original_height"":345},{""x"":62.003968253968246,""y"":59.523809523809526,""width"":0.1984126984126984,""keypointlabels"":[""GOMITO DX""],""original_width"":750,""original_height"":345}]"
17,900-0.png,"[{""x"":69.84126984126983,""y"":36.507936507936506,""width"":0.1984126984126984,""keypointlabels"":[""GINOCCHIO DX""],""original_width"":750,""original_height"":375},{""x"":57.04365079365079,""y"":78.17460317460316,""width"":0.1984126984126984,""keypointlabels"":[""BACINO DX""],""original_width"":750,""original_height"":375},{""x"":47.519841269841265,""y"":60.51587301587301,""width"":0.1984126984126984,""keypointlabels"":[""SPALLA DX""],""original_width"":750,""original_height"":375},{""x"":61.60714285714285,""y"":42.857142857142854,""width"":0.1984126984126984,""keypointlabels"":[""GOMITO DX""],""original_width"":750,""original_height"":375}]"
18,900-375.png,"[{""x"":61.3095238095238,""y"":73.11076604554866,""width"":0.1984126984126984,""keypointlabels"":[""GOMITO DX""],""original_width"":750,""original_height"":345},{""x"":49.0079365079365,""y"":98.1280193236715,""width"":0.1984126984126984,""keypointlabels"":[""BACINO DX""],""original_width"":750,""original_height"":345},{""x"":67.5595238095238,""y"":76.34575569358178,""width"":0.1984126984126984,""keypointlabels"":[""GINOCCHIO DX""],""original_width"":750,""original_height"":345},{""x"":44.24603174603174,""y"":65.5624568668047,""width"":0.1984126984126984,""keypointlabels"":[""SPALLA DX""],""original_width"":750,""original_height"":345}]"
19,1000-0.png,"[{""x"":57.24206349206349,""y"":83.13492063492063,""width"":0.1984126984126984,""keypointlabels"":[""BACINO DX""],""original_width"":750,""original_height"":375},{""x"":47.71825396825397,""y"":60.317460317460316,""width"":0.1984126984126984,""keypointlabels"":[""SPALLA DX""],""original_width"":750,""original_height"":375},{""x"":61.40873015873015,""y"":41.666666666666664,""width"":0.1984126984126984,""keypointlabels"":[""GOMITO DX""],""original_width"":750,""original_height"":375},{""x"":69.34523809523809,""y"":35.317460317460316,""width"":0.1984126984126984,""keypointlabels"":[""GINOCCHIO DX""],""original_width"":750,""original_height"":375}]"
20,1000-375.png,"[{""x"":60.317460317460316,""y"":79.14941338854382,""width"":0.1984126984126984,""keypointlabels"":[""BACINO DX""],""original_width"":750,""original_height"":345},{""x"":74.0079365079365,""y"":81.30607315389923,""width"":0.1984126984126984,""keypointlabels"":[""GINOCCHIO DX""],""original_width"":750,""original_height"":345},{""x"":55.0595238095238,""y"":61.24913733609386,""width"":0.1984126984126984,""keypointlabels"":[""SPALLA DX""],""original_width"":750,""original_height"":345},{""x"":63.888888888888886,""y"":68.36611456176674,""width"":0.1984126984126984,""keypointlabels"":[""GOMITO DX""],""original_width"":750,""original_height"":345}]"
21,1100-0.png,"[{""x"":45.53571428571428,""y"":31.944444444444443,""width"":0.1984126984126984,""keypointlabels"":[""SPALLA SX""],""original_width"":750,""original_height"":375},{""x"":31.845238095238095,""y"":39.08730158730158,""width"":0.1984126984126984,""keypointlabels"":[""GOMITO SX""],""original_width"":750,""original_height"":375},{""x"":34.02777777777777,""y"":49.0079365079365,""width"":0.1984126984126984,""keypointlabels"":[""MANO SX""],""original_width"":750,""original_height"":375},{""x"":37.1031746031746,""y"":65.27777777777777,""width"":0.1984126984126984,""keypointlabels"":[""BACINO SX""],""original_width"":750,""original_height"":375},{""x"":23.809523809523807,""y"":48.8095238095238,""width"":0.1984126984126984,""keypointlabels"":[""GINOCCHIO SX""],""original_width"":750,""original_height"":375}]"
22,1100-375.png,"[{""x"":72.91666666666666,""y"":68.36611456176674,""width"":0.1984126984126984,""keypointlabels"":[""GINOCCHIO DX""],""original_width"":750,""original_height"":345},{""x"":55.35714285714285,""y"":91.65804002760525,""width"":0.1984126984126984,""keypointlabels"":[""BACINO DX""],""original_width"":750,""original_height"":345},{""x"":64.18650793650794,""y"":57.582815734989644,""width"":0.1984126984126984,""keypointlabels"":[""GOMITO DX""],""original_width"":750,""original_height"":345},{""x"":47.61904761904761,""y"":56.50448585231194,""width"":0.1984126984126984,""keypointlabels"":[""SPALLA DX""],""original_width"":750,""original_height"":345},{""x"":63.29365079365079,""y"":69.44444444444444,""width"":0.1984126984126984,""keypointlabels"":[""MANO DX""],""original_width"":750,""original_height"":345}]"
23,1200-0.png,"[{""x"":47.02380952380952,""y"":44.64285714285714,""width"":0.1984126984126984,""keypointlabels"":[""SPALLA SX""],""original_width"":750,""original_height"":375},{""x"":26.785699039856993,""y"":33.53173593978321,""width"":0.1984126984126984,""keypointlabels"":[""GINOCCHIO SX""],""original_width"":750,""original_height"":375},{""x"":39.98015873015873,""y"":67.06349206349206,""width"":0.1984126984126984,""keypointlabels"":[""BACINO SX""],""original_width"":750,""original_height"":375},{""x"":33.630950686968234,""y"":33.33333669732093,""width"":0.1984126984126984,""keypointlabels"":[""GOMITO SX""],""original_width"":750,""original_height"":375}]"
24,1200-375.png,"[{""x"":58.134920634920626,""y"":66.20945479641132,""width"":0.1984126984126984,""keypointlabels"":[""GOMITO DX""],""original_width"":750,""original_height"":345},{""x"":69.44444444444444,""y"":56.935817805383024,""width"":0.1984126984126984,""keypointlabels"":[""GINOCCHIO DX""],""original_width"":750,""original_height"":345},{""x"":51.68650793650793,""y"":99.20634920634922,""width"":0.1984126984126984,""keypointlabels"":[""BACINO DX""],""original_width"":750,""original_height"":345},{""x"":45.138888888888886,""y"":85.83505866114561,""width"":0.1984126984126984,""keypointlabels"":[""SPALLA DX""],""original_width"":750,""original_height"":345}]"
25,1300-0.png,"[{""x"":43.84920634920634,""y"":81.34920634920634,""width"":0.1984126984126984,""keypointlabels"":[""BACINO SX""],""original_width"":750,""original_height"":375},{""x"":28.47222222222222,""y"":54.960317460317455,""width"":0.1984126984126984,""keypointlabels"":[""GINOCCHIO SX""],""original_width"":750,""original_height"":375},{""x"":39.28571428571428,""y"":51.58730158730158,""width"":0.1984126984126984,""keypointlabels"":[""GOMITO SX""],""original_width"":750,""original_height"":375},{""x"":53.37301587301587,""y"":56.74603174603175,""width"":0.1984126984126984,""keypointlabels"":[""SPALLA SX""],""original_width"":750,""original_height"":375},{""x"":33.23412698412698,""y"":50.39682539682539,""width"":0.1984126984126984,""keypointlabels"":[""MANO SX""],""original_width"":750,""original_height"":375}]"
26,1300-375.png,"[{""x"":60.51587301587301,""y"":65.1311249137336,""width"":0.1984126984126984,""keypointlabels"":[""GOMITO DX""],""original_width"":750,""original_height"":345},{""x"":46.52777777777777,""y"":75.9144237405107,""width"":0.1984126984126984,""keypointlabels"":[""SPALLA DX""],""original_width"":750,""original_height"":345},{""x"":69.24603174603173,""y"":63.19013112491373,""width"":0.1984126984126984,""keypointlabels"":[""GINOCCHIO DX""],""original_width"":750,""original_height"":345},{""x"":55.55555555555555,""y"":96.61835748792271,""width"":0.1984126984126984,""keypointlabels"":[""BACINO DX""],""original_width"":750,""original_height"":345}]"
